"-- Please Select --","-- Veuillez sélectionner --"
"-- Do not display block on sponsorship page --","-- Ne pas afficher de block sur la page des parrainages --"
"Actually you don't have any godchild.","Pour le moment vous n'avez aucun filleul"
"Actually you don't have any reward.","Pour le moment vous n'avez aucune récompense"
"Allowed file types: jpeg, gif, png.","Types de fichiers autorisés : jpeg, gif, png."
"An error has occured. Sending email is not possible. Please try later or contact the administrator","Une erreur empêche l'envoi de l'invitation. Merci de réessayer dans un moment ou de contacter l'administrateur"
"As","En tant que"
"Block displayed on dashboard","Bloc affiché sur le tableau de bord"
"Block displayed on dashboard if customer is not a sponsor yet","Bloc affiché sur le tableau de bord si le client n'est pas encore un parrain"
"Coupon Code","Code Coupon"
"Coupon Generated","Coupon Généré"
"Coupon Used","Coupon Utilisé"
"Customer must order once","Les clients doivent avoir commandé une fois"
"Displayed on the register form if the customer comes from the sponsorship invitation url. We can display a personalized message. Use %s to insert the name of the sponsor","Affiché sur le formulaire d'inscription si le client provient du lien d'invitation. Utiliser %s pour insérer le nom du parrain"
"Edit Godchild","Voir le filleul"
"Edit Sponsor","Voir le parrain"
"Email sent to Sponsor","Email envoyé au parrain"
"Email sent to Godchild","Email envoyé au filleul"
"Email sent to Godchild when successfully registered","Email envoyé au filleul après son inscription"
"Friend Name","Nom de votre ami"
"Get your Api key from <a href='https://console.developers.google.com' target='_blank'>google urlshortener</a>. More infos <a href='https://developers.google.com/url-shortener/v1/getting_started?hl=fr#APIKey' target='_blank'>about urlshortener</a>","Récupérez votre clé d'Api depuis <a href='https://console.developers.google.com' target='_blank'>l'url shortener de Google</a>. Plus d'informations <a href='https://developers.google.com/url-shortener/v1/getting_started?hl=fr#APIKey' target='_blank'>à propos de l'urlshortener</a>"
"Godchild","Filleul",
"Godchild:","Filleul :",
"Godchild Id","Id du filleul"
"Godchilds","Filleuls"
"Hashtags","Hashtags"
"Hastags comma separated (eg: aupasdecourses,sponsor,discount)","Liste des Hashtags séparés par des virgules (ex:  aupasdecourses,sponsor,discount)"
"If enabled, customer must at least order once before becoming a sponsor and get their sponsor code and their share link.","Si activé, les clients doivent avoir commandé au moins une fois pour devenir parrain et voir leur code parrain et les liens de partages sur leur tableau de bord";
"Invitation has been sent successfully","L'invitation a été envoyée avec succès"
"Label","Libellé"
"Manage Sponsorship","Gérer les parrainages"
"Minimum amount of purchased items before receiving discount. To disable this feature, please unset this field or set it to 0.","Montant minimum d'achats (toute commande cumulé) avant de recevoir le coupon de réduction. Pour désactiver cette fonctionnalité, veuillez vider le champ ou mettre 0."
"Minimum Ordered Amount","Montant minimum de commande"
"My godchilds","Mes filleuls"
"My Godchilds","Mes Filleuls"
"My Rewards","Mes Récompenses"
"My rewards","Mes récompenses"
"My sponsorship","Mes parrainages"
"My Sponsorship","Mes Parrainages"
"My Sponsorship | Invitations","Mes Parrainages | Invitations"
"My Sponsorship | My Godchilds","Mes Parrainages | Mes Filleuls"
"My Sponsorship | My Rewards","Mes Parrainages | Mes Récompenses"
"Name","Nom"
"No","Non"
"Notification for new godchild","Notification de nouveau filleul"
"Number of Godchilds","Nombre de filleuls"
"Or share via","Ou partagez via"
"Please visit <a href='https://developers.facebook.com' target='_blank'>Facebook Developpers website</a> to configure your application and get your app id. You can referer to the <a href='https://developers.facebook.com/docs/sharing/reference/feed-dialog' target='_blank'>complete documentation</a> of the feed dialog plugin","Veuillez vous rendre sur le <a href='https://developers.facebook.com' target='_blank'>site des développeurs Facebook</a> pour configurer votre application et récupérer votre app id. Vous pouvez vous référer à la <a href='https://developers.facebook.com/docs/sharing/reference/feed-dialog' target='_blank'>documentation complète</a> sur le plugin feed dialog"
"Register Instructions","Insctructions pour l'inscription"
"Register Personalized Message","Message personnalisé pour l'inscription"
"Register Success Message","Message d'inscription terminée"
"Rewards Settings","Configuration des Récompenses"
"Sales rule to create discount coupon","Règle panier pour création coupon"
"Sales rule to create discount coupon after successfull godchild registration","Règle panier pour création coupon après inscription en tant que filleul"
"Send","Envoyer"
"Send Email","Envoyer un email"
"Send to","Envoyer à"
"Share by Email Settings","Configuration Parage Email"
"Share on Twitter Settings","Configuration Partage Twitter"
"Share on Facebook Settings","Configuration Partage Facebook"
"Sponsorship - New Godchild","Parrainage - Nouveau filleul"
"Sponsorship - Rewards sent to Godchild","Parrainage - Récompense envoyée au filleul"
"Sponsorship - Rewards sent to Godchild after successfull registration","Parrainage - Récompense envoyée au filleul après son inscription"
"Sponsorship - Rewards sent to Sponsor","Parrainage - Récompense envoyée au parrain"
"Sponsorship - Share By Email","Parrainage - Paratager par Email"
"Since","Depuis"
"Sponsor","Parrain",
"Sponsor:","Parrain :",
"Sponsor Code","Code Parrain"
"Sponsor Code is not valid","Le Code Parrain n'est pas valide"
"Sponsor Email","Email du Parrain"
"Sponsor Id","Id du Parrain"
"Sponsor Name","Nom du Parrain"
"Sponsor since","Parrain depuis"
"Sponsor Your Friends","Parrainez vos amis"
"Sponsors","Parrains"
"Sponsorship","Parrainage",
"Sponsorship Settings","Configuration du Parrainage",
"Text","Texte"
"This block is displayed on the Sponsorship customer dashboard","Ce bloc est affiché sur le dashboard de parrainage du client"
"This block is displayed on the Sponsorship customer dashboard when this customer is not a sponsor yet. He must ordered once before becoming a sponsor (if enabled)","Ce block est affiché sur le dashboard de parrainage du client si il n'est pas encore un parrain. Il doit faire au moins une commande avant de devenir parrain (si activé)"
"This message is displayed whenever the customer successfully registerd and linked to his sponsor.","Ce message s'affichage lorsque le client a créé son compte et est lié avec son parrain."
"This text is displayed under the description.","Ce texte est affiché sous la description"
"This text will be displayed near the text field for the sponsor code. Used to give instructions to the customer","Ce texte s'affiche à coté du champ pour renseigner le code parrain. Utilié pour donner des instructions au client"
"Total Ordered","Total cumulé"
"Url Shortener Api Key","Clé d'Api pour l'Url Shortener"
"View godchilds","Voir les filleuls"
"View sponsors","Voir les parrains"
"Will use this rule to create discount coupon. (eg: 10€ discount when total ordered has reached the minimum ordered amount)","Utilisera cette règle pour créer le coupon de réduction. (ex: 10€ de réduction si le total commandé cumulé a atteind le minimum configuré)"
"Will use this rule to create discount coupon when a new customer is successfully registered as a godchild.","Uilisera cette règle pour créer le coupon de réduction lorsqu'un nouveau client est inscrit avec succès en tant que filleul.
"Yes","Oui"
"You can use %s to insert the sponsor name.","Vous pouvez utiliser %s pour insérer le nom du parrain"
"You have %s godchilds","Vous avez %s filleuls"
"You have %s rewards","Vous avez %s récompenses"
"You just have to share your unique web link or your sponsor code","Il vous suffit de partager votre lien web unique ou votre code parrain"
"Your message","Votre message"
"Your sponsor code:","Votre code parrain :"
"Your unique link:","Votre lien unique :"
"Your unique link and your sponsor code will be automatically added to the email","Votre lien unique et votre code parrain seront automatiquement ajouté à l'email"

